threshold,faucet,reduction,comp,1,2,3,4,5,6,7,8,9,10
13600,4,65,8,0,61,63,63,64,64,63,64,69,62
13600,5,66,8,0,62,64,64,65,65,64,66,71,65
13700,3,63,7,0,61,62,61,62,63,62,63,66,60
13700,4,64,8,0,61,63,63,63,64,63,64,69,62
13700,5,66,8,0,62,64,64,65,65,64,66,71,64
13700,6,67,8,0,63,65,65,66,67,65,68,73,66
13800,3,63,8,0,61,61,61,62,63,62,63,66,60
13800,4,64,8,0,61,62,63,63,64,63,64,69,62
13800,5,66,8,0,62,63,64,65,65,64,66,71,64
13800,6,67,8,0,63,64,65,66,67,65,68,73,66
13900,3,63,8,0,61,61,61,62,63,62,62,66,60
13900,4,64,8,0,61,62,63,63,64,63,64,68,62
13900,5,66,8,0,62,63,64,65,65,64,66,71,64
13900,6,67,8,0,63,64,65,66,67,65,68,73,66
14000,3,63,8,0,61,61,61,62,63,62,62,66,60
14000,4,64,8,0,61,62,63,63,64,63,64,68,62
14000,5,66,8,0,62,63,64,65,65,64,66,70,64
14000,6,67,8,0,63,64,65,66,67,65,68,73,66
14100,3,63,8,0,61,61,61,62,63,62,62,66,60
14100,4,64,8,0,61,62,63,63,64,63,64,68,62
14100,5,66,8,0,62,63,64,65,65,64,66,70,64
14100,6,67,8,0,63,64,65,66,66,65,67,72,66
14200,3,63,8,0,61,61,61,62,63,62,62,66,60
14200,4,64,8,0,61,62,63,63,64,63,64,68,62
14200,5,66,8,0,62,63,64,65,65,64,66,70,64
14200,6,67,8,0,63,64,64,66,66,65,67,72,66
14300,3,63,8,0,61,61,61,62,63,62,62,66,60
14300,4,64,8,0,61,62,63,63,64,63,64,68,62
14300,5,66,8,0,62,63,64,65,65,64,66,70,64
14300,6,67,8,0,63,64,64,66,66,65,67,72,66
14400,3,63,9,0,61,61,61,62,62,62,62,66,60
14400,4,64,8,0,61,62,63,63,64,63,64,68,62
14400,5,66,8,0,62,63,63,65,65,64,66,70,64
14400,6,67,8,0,63,64,64,66,66,65,67,72,66
14500,3,63,9,0,60,61,61,62,62,62,62,66,60
14500,4,64,8,0,61,62,63,63,64,63,64,68,62
14500,5,66,8,0,62,63,63,65,65,64,66,70,64
14500,6,67,8,0,63,64,64,66,66,65,67,72,66
14600,3,63,9,0,60,61,61,62,62,62,62,66,60
14600,4,64,8,0,61,62,63,63,64,63,64,68,62
14600,5,66,8,0,62,63,63,64,65,64,66,70,64
14600,6,67,8,0,63,64,64,66,66,65,67,72,66
14700,3,63,9,0,60,61,61,62,62,62,62,66,60
14700,4,64,8,0,61,62,62,63,64,63,64,68,62
14700,5,65,8,0,62,63,63,64,65,64,66,70,64
14700,6,67,8,0,63,64,64,65,66,65,67,72,66
14800,3,63,9,0,60,61,61,62,62,62,62,66,60
14800,4,64,8,0,61,62,62,63,64,63,64,68,62
14800,5,65,8,0,62,63,63,64,65,64,65,70,64
14800,6,67,8,0,63,64,64,65,66,65,67,72,66
14900,3,63,9,0,60,61,61,62,62,62,62,66,60
14900,4,64,8,0,61,62,62,63,64,63,64,68,62
14900,5,65,8,0,62,63,63,64,65,64,65,70,64
14900,6,67,8,0,63,64,64,65,66,65,67,72,66
15000,3,63,8,0,60,61,61,62,62,61,62,66,60
15000,4,64,8,0,61,62,62,63,64,63,64,68,62
15000,5,65,8,0,62,63,63,64,65,63,65,70,64
15000,6,67,8,0,63,64,64,65,66,65,67,72,65
15100,3,63,8,0,60,61,61,62,62,61,62,66,60
15100,4,64,8,0,61,62,62,63,64,63,64,68,62
15100,5,65,8,0,62,63,63,64,65,63,65,70,64
15100,6,67,8,0,63,64,64,65,66,65,67,72,65
15200,4,64,9,0,61,62,62,63,63,63,64,68,62
15200,5,65,8,0,62,63,63,64,65,63,65,70,64
15200,6,67,8,0,62,64,64,65,66,64,67,72,65
15300,4,64,8,0,61,62,62,63,63,62,64,68,62
15300,5,65,8,0,62,63,63,64,65,63,65,70,63
15300,6,67,8,0,62,64,64,65,66,64,67,72,65
15400,4,64,8,0,61,62,62,63,63,62,63,68,62
15400,5,65,8,0,62,63,63,64,65,63,65,70,63
15400,6,66,8,0,62,64,64,65,66,64,67,71,65
15500,4,64,8,0,61,62,62,63,63,62,63,68,61
15500,5,65,8,0,62,63,63,64,65,63,65,69,63
15500,6,66,8,0,62,64,64,65,66,64,67,71,65
15600,4,64,8,0,61,62,62,63,63,62,63,68,61
15600,5,65,8,0,62,63,63,64,65,63,65,69,63
15600,6,66,8,0,62,64,64,65,66,64,67,71,65
15700,4,64,8,0,61,62,62,63,63,62,63,67,61
15700,5,65,8,0,62,63,63,64,65,63,65,69,63
15700,6,66,8,0,62,64,64,65,66,64,66,71,65
15800,4,64,8,0,61,62,62,63,63,62,63,67,61
15800,5,65,8,0,62,63,63,64,64,63,65,69,63
15800,6,66,8,0,62,64,64,65,66,64,66,71,65
15900,4,64,8,0,61,62,62,63,63,62,63,67,61
15900,5,65,8,0,62,63,63,64,64,63,65,69,63
15900,6,66,8,0,62,64,64,65,66,64,66,71,65
16000,4,64,8,0,61,62,62,63,63,62,63,67,61
16000,5,65,8,0,62,63,63,64,64,63,65,69,63
16000,6,66,8,0,62,64,64,65,66,64,66,71,65
16000,7,67,8,0,63,65,65,66,67,65,68,73,66
16100,4,64,8,0,61,62,62,63,63,62,63,67,61
16100,5,65,8,0,62,63,63,64,64,63,65,69,63
16100,6,66,8,0,62,64,64,65,65,64,66,71,65
16100,7,67,8,0,63,64,65,66,67,65,68,73,66
16200,4,64,8,0,61,62,62,63,63,62,63,67,61
16200,5,65,8,0,62,63,63,64,64,63,65,69,63
16200,6,66,8,0,62,64,64,65,65,64,66,71,65
16200,7,67,8,0,63,64,65,66,67,65,68,73,66
16300,4,64,8,0,61,62,62,63,63,62,63,67,61
16300,5,65,8,0,62,63,63,64,64,63,65,69,63
16300,6,66,8,0,62,64,64,65,65,64,66,71,65
16300,7,67,8,0,63,64,65,66,67,65,68,73,66
16400,4,63,8,0,61,62,62,63,63,62,63,67,61
16400,5,65,8,0,62,63,63,64,64,63,65,69,63
16400,6,66,8,0,62,64,64,65,65,64,66,71,64
16400,7,67,8,0,63,64,65,66,66,65,67,73,66
16500,4,63,8,0,61,62,62,63,63,62,63,67,61
16500,5,65,8,0,62,63,63,64,64,63,65,69,63
16500,6,66,8,0,62,64,64,65,65,64,66,71,64
16500,7,67,8,0,63,64,65,66,66,65,67,72,66
16600,4,63,8,0,61,62,62,63,63,62,63,67,61
16600,5,65,8,0,61,63,63,64,64,63,65,69,63
16600,6,66,8,0,62,63,64,65,65,64,66,71,64
16600,7,67,8,0,63,64,65,66,66,65,67,72,66
16700,4,63,8,0,61,62,62,63,63,62,63,67,61
16700,5,65,8,0,61,63,63,64,64,63,65,69,63
16700,6,66,8,0,62,63,64,65,65,64,66,71,64
16700,7,67,8,0,63,64,65,66,66,65,67,72,66
16800,4,63,8,0,61,62,62,63,63,62,63,67,61
16800,5,65,8,0,61,63,63,64,64,63,65,69,63
16800,6,66,8,0,62,63,64,65,65,64,66,70,64
16800,7,67,8,0,63,64,65,66,66,65,67,72,66
16900,4,63,8,0,61,62,62,63,63,62,63,67,61
16900,5,65,8,0,61,63,63,64,64,63,64,69,63
16900,6,66,8,0,62,63,64,65,65,64,66,70,64
16900,7,67,8,0,63,64,65,66,66,65,67,72,66
17000,4,63,8,0,61,62,62,62,63,62,63,67,61
17000,5,65,8,0,61,63,63,64,64,63,64,69,63
17000,6,66,8,0,62,63,64,65,65,64,66,70,64
17000,7,67,8,0,63,64,65,66,66,65,67,72,66
17100,4,63,8,0,61,62,62,62,63,62,63,67,61
17100,5,64,8,0,61,63,63,64,64,63,64,69,63
17100,6,66,8,0,62,63,63,64,65,64,66,70,64
17100,7,67,8,0,63,64,65,66,66,65,67,72,66
17200,4,63,8,0,61,62,62,62,63,62,63,67,61
17200,5,64,8,0,61,63,63,64,64,63,64,69,62
17200,6,66,8,0,62,63,63,64,65,64,66,70,64
17200,7,67,8,0,63,64,64,66,66,65,67,72,66
17300,4,63,8,0,61,62,62,62,63,62,63,67,61
17300,5,64,8,0,61,62,63,64,64,63,64,68,62
17300,6,66,8,0,62,63,63,64,65,64,66,70,64
17300,7,67,8,0,63,64,64,66,66,65,67,72,66
17400,4,63,8,0,61,62,62,62,63,62,63,67,61
17400,5,64,8,0,61,62,63,63,64,63,64,68,62
17400,6,66,8,0,62,63,63,64,65,64,66,70,64
17400,7,67,8,0,63,64,64,65,66,65,67,72,65
17500,4,63,8,0,61,62,62,62,63,62,63,67,61
17500,5,64,8,0,61,62,63,63,64,63,64,68,62
17500,6,66,8,0,62,63,63,64,65,64,66,70,64
17500,7,67,8,0,63,64,64,65,66,64,67,72,65
17600,4,63,8,0,61,62,62,62,63,62,63,67,61
17600,5,64,8,0,61,62,63,63,64,63,64,68,62
17600,6,65,8,0,62,63,63,64,65,64,65,70,64
17600,7,67,8,0,63,64,64,65,66,64,67,72,65
17700,4,63,8,0,61,62,62,62,63,62,63,67,61
17700,5,64,8,0,61,62,63,63,64,63,64,68,62
17700,6,65,8,0,62,63,63,64,65,64,65,70,64
17700,7,67,8,0,62,64,64,65,66,64,67,72,65
17800,4,63,8,0,61,62,62,62,63,62,63,67,61
17800,5,64,8,0,61,62,63,63,64,63,64,68,62
17800,6,65,8,0,62,63,63,64,65,64,65,70,64
17800,7,67,8,0,62,64,64,65,66,64,67,72,65
17900,4,63,8,0,61,62,62,62,63,62,63,67,61
17900,5,64,8,0,61,62,63,63,64,63,64,68,62
17900,6,65,8,0,62,63,63,64,65,64,65,70,64
17900,7,67,8,0,62,64,64,65,66,64,67,71,65
18000,4,63,8,0,61,62,62,62,63,62,63,67,60
18000,5,64,8,0,61,62,62,63,64,63,64,68,62
18000,6,65,8,0,62,63,63,64,65,64,65,70,64
18000,7,66,8,0,62,64,64,65,66,64,67,71,65
18100,4,63,8,0,61,62,62,62,63,62,63,66,60
18100,5,64,8,0,61,62,62,63,64,63,64,68,62
18100,6,65,8,0,62,63,63,64,65,64,65,70,64
18100,7,66,8,0,62,64,64,65,66,64,67,71,65
18200,4,63,8,0,61,62,62,62,63,62,63,66,60
