"bucket","lower_limit","upper_limit","num"
22036,53830.18290,53832.62584,1
22450,54841.56006,54844.00300,1
22624,55266.63162,55269.07456,1
23233,56754.38208,56756.82502,1
23268,56839.88498,56842.32792,1
23902,58388.70894,58391.15188,1
24534,59932.64702,59935.08996,1
24652,60220.91394,60223.35688,1
25198,61554.75918,61557.20212,1
25807,63042.50964,63044.95258,1
25855,63159.77076,63162.21370,1
26018,63557.96998,63560.41292,1
26121,63809.59280,63812.03574,1
26239,64097.85972,64100.30266,1
26314,64281.08022,64283.52316,1
26900,65712.64306,65715.08600,1
26918,65756.61598,65759.05892,1
26937,65803.03184,65805.47478,1
27201,66447.96800,66450.41094,1
27761,67816.01440,67818.45734,1
28453,69506.52888,69508.97182,1
28515,69657.99116,69660.43410,1
28970,70769.52886,70771.97180,1
29296,71565.92730,71568.37024,1
30563,74661.13228,74663.57522,1
30762,75147.27734,75149.72028,1
30966,75645.63710,75648.08004,1
31325,76522.65256,76525.09550,1
31443,76810.91948,76813.36242,1
31467,76869.55004,76871.99298,1
32362,79055.98134,79058.42428,1
32459,79292.94652,79295.38946,1
32659,79781.53452,79783.97746,1
32786,80091.78790,80094.23084,1
33437,81682.14184,81684.58478,1
33929,82884.06832,82886.51126,1
33942,82915.82654,82918.26948,1
34123,83357.99868,83360.44162,1
34324,83849.02962,83851.47256,1
34566,84440.22110,84442.66404,1
34779,84960.56732,84963.01026,1
36494,89150.20942,89152.65236,1
37238,90967.75678,90970.19972,1
41690,101843.72566,101846.16860,1
42713,104342.85328,104345.29622,1
42852,104682.42194,104684.86488,1
42989,105017.10472,105019.54766,1
43253,105662.04088,105664.48382,1
43264,105688.91322,105691.35616,1
43704,106763.80682,106766.24976,1
44057,107626.16464,107628.60758,1
44210,107999.93446,108002.37740,1
44581,108906.26520,108908.70814,1
44636,109040.62690,109043.06984,1
44664,109109.02922,109111.47216,1
45041,110030.01760,110032.46054,1
45259,110562.57852,110565.02146,1
45260,110565.02146,110567.46440,1
45285,110626.09496,110628.53790,1
45470,111078.03886,111080.48180,1
45680,111591.05626,111593.49920,1
45997,112365.46824,112367.91118,1
46068,112538.91698,112541.35992,1
46083,112575.56108,112578.00402,1
46279,113054.37732,113056.82026,1
46305,113117.89376,113120.33670,1
46964,114727.79122,114730.23416,1
47923,117070.57068,117073.01362,3
48116,117542.05810,117544.50104,3
48570,118651.15286,118653.59580,1
49238,120283.03678,120285.47972,1
49681,121365.25920,121367.70214,1
49738,121504.50678,121506.94972,1
50047,122259.37524,122261.81818,1
50131,122464.58220,122467.02514,1
50233,122713.76208,122716.20502,1
50315,122914.08316,122916.52610,1
50362,123028.90134,123031.34428,1
50509,123388.01352,123390.45646,1
50671,123783.76980,123786.21274,1
51776,126483.21850,126485.66144,1
52131,127350.46220,127352.90514,1
52255,127653.38676,127655.82970,1
52333,127843.93608,127846.37902,1
52611,128523.07340,128525.51634,1
52778,128931.04438,128933.48732,1
53181,129915.54920,129917.99214,1
55073,134537.59168,134540.03462,1
55090,134579.12166,134581.56460,1
55665,135983.81216,135986.25510,1
56309,137557.06552,137559.50846,1
60470,147722.13886,147724.58180,1
60506,147810.08470,147812.52764,1
60777,148472.12144,148474.56438,1
61382,149950.10014,149952.54308,1
63051,154027.36700,154029.80994,1
63171,154320.51980,154322.96274,1
63282,154591.68614,154594.12908,1
63353,154765.13488,154767.57782,1
64231,156910.03620,156912.47914,1
64377,157266.70544,157269.14838,1
64383,157281.36308,157283.80602,1
64486,157532.98590,157535.42884,1
64534,157650.24702,157652.68996,1
64555,157701.54876,157703.99170,1
64568,157733.30698,157735.74992,1
65278,159467.79438,159470.23732,1
65405,159778.04776,159780.49070,1
65499,160007.68412,160010.12706,1
65532,160088.30114,160090.74408,1
66289,161937.60672,161940.04966,1
