"bucket","lower_limit","upper_limit","num"
1572,183869.21160,183986.25120,7
1578,184571.44920,184688.48880,602
1603,187497.43920,187614.47880,60
1609,188199.67680,188316.71640,153
1625,190072.31040,190189.35000,17
1637,191476.78560,191593.82520,135
1643,192179.02320,192296.06280,114
1651,193115.34000,193232.37960,517
1657,193817.57760,193934.61720,237
1680,196509.48840,196626.52800,363
1700,198850.28040,198967.32000,119
1727,202010.34960,202127.38920,319
1739,203414.82480,203531.86440,2
1744,204000.02280,204117.06240,387
1776,207745.29000,207862.32960,690
1797,210203.12160,210320.16120,31
1809,211607.59680,211724.63640,68
1827,213714.30960,213831.34920,59
1832,214299.50760,214416.54720,34
1837,214884.70560,215001.74520,59
1838,215001.74520,215118.78480,49
1839,215118.78480,215235.82440,326
1847,216055.10160,216172.14120,311
1854,216874.37880,216991.41840,385
1856,217108.45800,217225.49760,271
1885,220502.60640,220619.64600,23
1888,220853.72520,220970.76480,251
1905,222843.39840,222960.43800,337
1933,226120.50720,226237.54680,440
1977,231270.24960,231387.28920,32
1987,232440.64560,232557.68520,8
1997,233611.04160,233728.08120,315
2007,234781.43760,234898.47720,273
2011,235249.59600,235366.63560,99
2027,237122.22960,237239.26920,757
2037,238292.62560,238409.66520,1001
2072,242389.01160,242506.05120,143
2121,248123.95200,248240.99160,419
2197,257018.96160,257136.00120,108
2231,260998.30800,261115.34760,7
2245,262636.86240,262753.90200,183
2308,270010.35720,270127.39680,291
2311,270361.47600,270478.51560,248
2320,271414.83240,271531.87200,44
2344,274223.78280,274340.82240,184
2379,278320.16880,278437.20840,500
2400,280778.00040,280895.04000,40
2428,284055.10920,284172.14880,333
2455,287215.17840,287332.21800,153
2510,293652.35640,293769.39600,106
2513,294003.47520,294120.51480,215
2533,296344.26720,296461.30680,106
2604,304654.07880,304771.11840,444
2639,308750.46480,308867.50440,418
2672,312612.77160,312729.81120,320
2678,313315.00920,313432.04880,681
2740,320571.46440,320688.50400,254
2761,323029.29600,323146.33560,612
2786,325955.28600,326072.32560,297
2900,339297.80040,339414.84000,27
2911,340585.23600,340702.27560,252
2971,347607.61200,347724.65160,625
3006,351703.99800,351821.03760,583
3067,358843.41360,358960.45320,206
3081,360481.96800,360599.00760,621
3091,361652.36400,361769.40360,845
3124,365514.67080,365631.71040,356
3128,365982.82920,366099.86880,26
3141,367504.34400,367621.38360,101
3192,373473.36360,373590.40320,638
3231,378037.90800,378154.94760,47
3264,381900.21480,382017.25440,58
3284,384241.00680,384358.04640,36
3297,385762.52160,385879.56120,766
3383,395827.92720,395944.96680,231
3387,396296.08560,396413.12520,64
3390,396647.20440,396764.24400,430
3393,396998.32320,397115.36280,458
3433,401679.90720,401796.94680,157
3473,406361.49120,406478.53080,481
3481,407297.80800,407414.84760,239
3493,408702.28320,408819.32280,100
3511,410808.99600,410926.03560,604
3626,424268.55000,424385.58960,13
3640,425907.10440,426024.14400,178
3732,436674.74760,436791.78720,50
3769,441005.21280,441122.25240,1
3984,466168.72680,466285.76640,215
4032,471786.62760,471903.66720,954
4055,474478.53840,474595.57800,304
4226,494492.31000,494609.34960,191
4472,523284.05160,523401.09120,32
4485,524805.56640,524922.60600,365
4501,526678.20000,526795.23960,584
4509,527614.51680,527731.55640,139
4533,530423.46720,530540.50680,1995
4535,530657.54640,530774.58600,434
4546,531944.98200,532062.02160,349
4563,533934.65520,534051.69480,148
4569,534636.89280,534753.93240,257
4576,535456.17000,535573.20960,311
4584,536392.48680,536509.52640,349
4689,548681.64480,548798.68440,7
4720,552309.87240,552426.91200,70
4731,553597.30800,553714.34760,73
5003,585432.07920,585549.11880,377
5025,588006.95040,588123.99000,557
5148,602402.82120,602519.86080,35
5348,625810.74120,625927.78080,297
5835,682809.02640,682926.06600,6
5847,684213.50160,684330.54120,546
6295,736647.24240,736764.28200,75
6636,776557.74600,776674.78560,298
6785,793996.64640,794113.68600,310
6965,815063.77440,815180.81400,770
7072,827587.01160,827704.05120,141
7268,850526.77320,850643.81280,541
7284,852399.40680,852516.44640,272
7437,870306.46560,870423.50520,1
7817,914781.51360,914898.55320,214
7900,924495.80040,924612.84000,345
8793,1029012.16320,1029129.20280,436
8874,1038492.37080,1038609.41040,156
8875,1038609.41040,1038726.45000,59
8880,1039194.60840,1039311.64800,965
8894,1040833.16280,1040950.20240,732
8944,1046685.14280,1046802.18240,147
9034,1057218.70680,1057335.74640,446
9177,1073955.36960,1074072.40920,594
9791,1145817.68400,1145934.72360,593
9808,1147807.35720,1147924.39680,806
10218,1195793.59320,1195910.63280,305
11167,1306864.17360,1306981.21320,518
12897,1509342.68160,1509459.72120,439
15355,1797026.01840,1797143.05800,719
16039,1877081.10480,1877198.14440,297
17622,2062354.79160,2062471.83120,79
18296,2141239.48200,2141356.52160,373
18803,2200578.55920,2200695.59880,445
19663,2301232.61520,2301349.65480,677
20861,2441446.05600,2441563.09560,348
33397,3908654.48160,3908771.52120,496
