"bucket","lower_limit","upper_limit","num"
199,193480.68960,194457.86480,1
202,196412.21520,197389.39040,1
204,198366.56560,199343.74080,1
207,201298.09120,202275.26640,1
209,203252.44160,204229.61680,2
213,207161.14240,208138.31760,1
216,210092.66800,211069.84320,1
219,213024.19360,214001.36880,1
220,214001.36880,214978.54400,1
221,214978.54400,215955.71920,2
222,215955.71920,216932.89440,1
226,219864.42000,220841.59520,1
227,220841.59520,221818.77040,1
229,222795.94560,223773.12080,1
237,230613.34720,231590.52240,1
238,231590.52240,232567.69760,1
240,233544.87280,234522.04800,1
241,234522.04800,235499.22320,2
243,236476.39840,237453.57360,1
244,237453.57360,238430.74880,1
254,247225.32560,248202.50080,1
268,260905.77840,261882.95360,1
269,261882.95360,262860.12880,1
277,269700.35520,270677.53040,2
278,270677.53040,271654.70560,1
281,273609.05600,274586.23120,1
285,277517.75680,278494.93200,1
288,280449.28240,281426.45760,1
294,286312.33360,287289.50880,1
301,293152.56000,294129.73520,1
304,296084.08560,297061.26080,1
312,303901.48720,304878.66240,1
316,307810.18800,308787.36320,1
321,312696.06400,313673.23920,1
331,322467.81600,323444.99120,1
348,339079.79440,340056.96960,1
356,346897.19600,347874.37120,1
360,350805.89680,351783.07200,1
368,358623.29840,359600.47360,1
369,359600.47360,360577.64880,1
375,365463.52480,366440.70000,2
383,373280.92640,374258.10160,1
387,377189.62720,378166.80240,1
395,385007.02880,385984.20400,1
406,395755.95600,396733.13120,3
416,405527.70800,406504.88320,1
417,406504.88320,407482.05840,1
421,410413.58400,411390.75920,1
435,424094.03680,425071.21200,1
442,430934.26320,431911.43840,1
447,435820.13920,436797.31440,1
452,440706.01520,441683.19040,1
478,466112.57040,467089.74560,1
483,470998.44640,471975.62160,1
536,522788.73200,523765.90720,1
538,524743.08240,525720.25760,1
540,526697.43280,527674.60800,1
541,527674.60800,528651.78320,1
543,529628.95840,530606.13360,4
544,530606.13360,531583.30880,1
547,533537.65920,534514.83440,1
548,534514.83440,535492.00960,2
549,535492.00960,536469.18480,1
566,552103.98800,553081.16320,1
567,553081.16320,554058.33840,1
600,585327.94480,586305.12000,1
602,587282.29520,588259.47040,1
617,601939.92320,602917.09840,1
641,625392.12800,626369.30320,1
699,682068.28960,683045.46480,1
754,735812.92560,736790.10080,1
795,775877.10880,776854.28400,1
813,793466.26240,794443.43760,1
848,827667.39440,828644.56960,1
871,850142.42400,851119.59920,1
873,852096.77440,853073.94960,1
937,914635.98720,915613.16240,1
947,924407.73920,925384.91440,1
1054,1028965.48560,1029942.66080,1
1063,1037760.06240,1038737.23760,4
1064,1038737.23760,1039714.41280,2
1072,1046554.63920,1047531.81440,1
1082,1056326.39120,1057303.56640,1
1173,1145249.33440,1146226.50960,1
1175,1147203.68480,1148180.86000,1
1224,1195085.26960,1196062.44480,1
1338,1306483.24240,1307460.41760,1
1840,1797025.19280,1798002.36800,1
